Index,Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity
425,Man Down,Rihanna,barbadian pop,2010,156,91,48,-4,5,54,267,4,19,59
516,Stay - Album Version (Edited),Rihanna,barbadian pop,2012,112,31,62,-10,12,13,241,95,3,66
517,Diamonds,Rihanna,barbadian pop,2012,92,71,56,-5,11,39,225,0,5,67
17,Speed of Sound,Coldplay,permanent wave,2005,123,90,52,-7,7,36,288,0,6,69
21,Fix You,Coldplay,permanent wave,2005,138,42,21,-9,11,12,296,16,3,81
31,The Scientist,Coldplay,permanent wave,2002,146,44,56,-7,11,21,310,73,2,84
137,Talk,Coldplay,permanent wave,2005,120,56,41,-11,16,16,311,1,3,63
156,God Put a Smile upon Your Face,Coldplay,permanent wave,2002,127,56,61,-6,4,24,297,18,3,64
201,Green Eyes,Coldplay,permanent wave,2002,130,41,61,-9,23,23,223,54,3,63
240,Yellow,Coldplay,permanent wave,2000,173,66,43,-7,23,28,267,0,3,82
254,Amsterdam,Coldplay,permanent wave,2002,73,18,26,-10,12,11,319,84,3,57
262,In My Place,Coldplay,permanent wave,2002,145,59,43,-5,30,19,227,6,3,70
311,Viva La Vida,Coldplay,permanent wave,2008,138,62,49,-7,11,42,242,9,3,78
324,Violet Hill,Coldplay,permanent wave,2008,76,58,35,-8,12,11,223,6,4,61
329,Lost!,Coldplay,permanent wave,2008,87,78,36,-8,38,58,236,1,4,53
351,Politik,Coldplay,permanent wave,2002,171,48,26,-8,11,7,319,4,3,62
371,Life in Technicolor ii,Coldplay,permanent wave,2008,131,91,47,-7,25,29,245,0,4,47
377,Trouble,Coldplay,permanent wave,2000,140,55,56,-7,17,19,273,19,3,71
392,Clocks,Coldplay,permanent wave,2002,131,75,58,-7,18,26,308,60,3,76
418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,24,242,13,3,84
439,Paradise,Coldplay,permanent wave,2011,140,59,45,-7,8,20,279,5,3,78
457,Every Teardrop Is a Waterfall,Coldplay,permanent wave,2011,118,73,43,-7,17,31,241,0,4,68
478,Charlie Brown,Coldplay,permanent wave,2011,138,74,43,-7,33,9,285,2,4,67
563,A Sky Full of Stars,Coldplay,permanent wave,2014,125,64,55,-7,22,15,268,1,3,78
577,Magic,Coldplay,permanent wave,2014,93,48,74,-9,11,36,285,3,4,73
617,Everglow,Coldplay,permanent wave,2015,146,45,54,-9,11,14,283,46,3,69
623,Hymn for the Weekend,Coldplay,permanent wave,2015,90,74,49,-5,30,36,259,26,4,78
624,Adventure of a Lifetime,Coldplay,permanent wave,2015,112,92,64,-4,15,53,264,0,4,74
635,A Head Full of Dreams,Coldplay,permanent wave,2015,123,92,45,-5,33,8,224,0,7,68
643,Up&Up,Coldplay,permanent wave,2015,164,72,48,-5,10,25,405,5,6,70
10,Without Me,Eminem,detroit hip hop,2002,112,67,91,-3,24,66,290,0,7,82
28,Cleanin' Out My Closet,Eminem,detroit hip hop,2002,148,76,91,-5,8,87,298,7,17,71
115,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,detroit hip hop,2005,171,74,69,-5,36,6,326,1,26,77
193,The Real Slim Shady,Eminem,detroit hip hop,2000,105,66,95,-4,5,76,284,3,6,80
220,Stan,Eminem,detroit hip hop,2000,80,77,78,-4,52,51,404,4,24,75
547,The Monster,Eminem,detroit hip hop,2013,110,85,78,-4,12,62,250,5,7,75
1825,My Name Is,Eminem,detroit hip hop,1999,86,68,87,-6,9,82,268,4,32,72
370,Poker Face,Lady Gaga,dance pop,2008,119,81,85,-5,12,78,237,12,8,69
375,Bad Romance,Lady Gaga,dance pop,2009,119,92,70,-4,8,71,295,0,4,79
727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,32,216,37,3,88
760,Always Remember Us This Way,Lady Gaga,dance pop,2018,130,50,55,-6,76,30,210,30,4,81
7,She Will Be Loved,Maroon 5,pop,2002,102,71,71,-6,13,54,257,6,3,74
788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,98
107,Numb / Encore,JAY-Z,east coast hip hop,2004,107,79,69,-4,58,75,206,6,17,75
265,Empire State Of Mind,JAY-Z,east coast hip hop,2009,174,96,49,-2,46,81,277,3,39,77
466,Ni**as In Paris,JAY-Z,east coast hip hop,2011,140,86,79,-6,35,77,219,13,32,77
33,Chasing Pavements,Adele,british soul,2008,80,47,62,-6,11,33,211,31,3,63
71,Make You Feel My Love,Adele,british soul,2008,77,18,55,-11,11,9,212,89,3,73
258,Hometown Glory,Adele,british soul,2008,123,34,45,-9,10,21,269,96,4,59
434,Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,79
435,Set Fire to the Rain,Adele,british soul,2011,108,68,61,-4,13,47,242,0,3,75
452,Turning Tables,Adele,british soul,2011,80,45,31,-6,13,21,250,95,3,66
460,Rumour Has It,Adele,british soul,2011,120,75,62,-5,9,56,221,64,5,65
480,Skyfall - Full Length,Adele,british soul,2012,76,55,35,-7,11,8,286,42,3,74
564,Rolling In The Deep,Adele,british soul,2014,105,76,73,-5,6,54,228,13,3,61
651,Hello,Adele,british soul,2016,158,45,48,-6,9,29,295,34,3,73
654,When We Were Young,Adele,british soul,2016,144,59,38,-6,9,27,291,35,5,73
659,Million Years Ago,Adele,british soul,2016,106,27,72,-8,11,18,227,73,3,62
672,Water Under the Bridge,Adele,british soul,2016,95,84,60,-7,11,47,240,2,7,67
673,All I Ask,Adele,british soul,2016,142,28,59,-5,15,34,272,88,3,70
423,Just the Way You Are,Bruno Mars,dance pop,2010,109,84,64,-5,9,43,221,2,4,80
429,Grenade,Bruno Mars,dance pop,2010,110,56,71,-7,12,23,223,15,6,75
506,When I Was Your Man,Bruno Mars,dance pop,2012,73,28,61,-9,9,39,214,93,4,82
670,24K Magic,Bruno Mars,dance pop,2016,107,80,82,-4,15,63,226,3,8,78
445,The A Team,Ed Sheeran,pop,2011,85,29,64,-10,18,41,258,67,4,76
464,Give Me Love,Ed Sheeran,pop,2011,116,33,53,-10,11,11,526,69,5,73
470,Lego House,Ed Sheeran,pop,2011,160,64,59,-8,13,56,185,56,10,71
528,I See Fire,Ed Sheeran,pop,2013,76,5,63,-21,10,20,301,56,4,64
